cid,Total Sessions,Sum Session Duration,Total Movies Watched
c100,7,4450,1
c1000,9,5230,4
c1050,3,2170,2
c1100,10,5120,3
c1200,6,2670,1
c1250,7,3780,1
c1300,4,2400,2
c1350,9,4730,2
c1400,4,2790,1
c1450,5,2930,1
c150,7,3880,2
c1500,6,2270,2
c1550,7,4370,2
c1650,7,4650,1
c1700,6,2990,2
c1750,4,1820,1
c1800,6,3720,1
c1850,9,5050,2
c1900,1,980,1
c1950,5,2760,2
c200,6,3230,1
c2000,7,4080,1
c2050,6,3530,4
c2100,5,3750,3
c2150,9,3570,2
c2200,9,4780,1
c250,9,4660,3
c300,8,5420,2
c400,10,5590,2
c450,5,2580,1
c500,8,4510,2
c550,7,3370,1
c600,5,3250,1
c650,6,4040,1
c700,9,2710,2
c750,4,1650,2
c800,7,5340,4
c850,6,2200,1
c900,5,2210,1
c950,17,6630,2
